Categoria;ID_Subcategoria;ID_Modelo;Cor;UF;ID_Cidade;ID_Regiao;Quantidade Vendida;Total Venda;Data Venda
Roupas;13.0;30.0;Preto;RN;1.0;1.0;1;3578.27;01/08/2019
Roupas;15.0;34.0;Amarela;PB;1.0;1.0;1;3374.99;01/10/2019
Bicicletas;2.0;12.0;Amarela;PB;1.0;1.0;1;3578.27;01/10/2019
Acessórios;5.0;9.0;;CE;4.0;1.0;1;3578.27;01/09/2019
Bicicletas;2.0;6.0;Amarela;SP;35.0;2.0;1;3578.27;01/02/2019
Bicicletas;2.0;5.0;Preto;SP;35.0;2.0;1;3374.99;01/08/2019
Bicicletas;2.0;5.0;Preto;RN;5.0;1.0;1;3578.27;01/08/2019
Acessórios;7.0;17.0;Preto;BA;8.0;1.0;1;3374.99;01/10/2019
Bicicletas;2.0;5.0;Vermelho;MG;7.0;2.0;2;7156.54;01/05/2019
Acessórios;4.0;13.0;;RO;7.0;3.0;1;3374.99;01/10/2019
Bicicletas;2.0;3.0;Vermelho;SP;9.0;2.0;1;3578.27;01/03/2019
Acessórios;4.0;31.0;;SP;9.0;2.0;1;3578.27;01/09/2019
Bicicletas;9.0;23.0;Azul;MT;10.0;4.0;1;3578.27;01/08/2019
Bicicletas;2.0;6.0;Amarela;RJ;13.0;2.0;1;3578.27;01/03/2019
Bicicletas;2.0;12.0;Amarela;AL;22.0;1.0;1;2443.35;01/08/2019
Componentes;18.0;43.0;Azul;AL;22.0;1.0;1;3578.27;01/08/2019
Acessórios;7.0;17.0;Preto;RN;15.0;1.0;1;3578.27;01/09/2019
Roupas;14.0;33.0;Multi;PE;16.0;1.0;1;2443.35;01/09/2019
Acessórios;8.0;18.0;Prata;AM;25.0;3.0;1;3578.27;01/11/2019
Componentes;25.0;50.0;Prata/Preto;AM;25.0;3.0;1;782.99;01/09/2019
Acessórios;4.0;8.0;;MG;28.0;2.0;1;782.99;01/09/2019
Bicicletas;9.0;39.0;Azul;PE;33.0;1.0;1;3374.99;01/11/2019
Bicicletas;9.0;22.0;Azul;TO;37.0;3.0;1;3399.99;01/10/2019
Roupas;15.0;34.0;Amarela;MG;40.0;2.0;1;3578.27;01/09/2019
Bicicletas;2.0;6.0;Amarela;MG;42.0;2.0;1;3578.27;01/03/2019
Acessórios;5.0;15.0;;MG;48.0;2.0;1;3578.27;01/08/2019
Acessórios;5.0;16.0;;MT;49.0;4.0;1;3578.27;01/08/2019
Roupas;15.0;34.0;Amarela;GO;54.0;4.0;1;3578.27;01/10/2019
Bicicletas;1.0;35.0;Prata;GO;54.0;4.0;1;3578.27;01/12/2019
Acessórios;5.0;20.0;;PB;62.0;1.0;1;3578.27;01/07/2019
Acessórios;5.0;11.0;;MA;51.0;1.0;1;3578.27;01/08/2019
Roupas;16.0;37.0;Preto;SC;53.0;5.0;1;2443.35;01/11/2019
Acessórios;12.0;26.0;;GO;60.0;4.0;3;26.97;01/08/2019
